Tweet,Favourited,TweetDate,TweetedBy,RetweetCount,Score,Photo
I showed my grandma how to use a google home mini and its very cute google thank you she yells at it,FALSE,6/3/2020 22:08,ae_marciano,0,1.25,
Google Home Mini Smart Speaker with Google Assistant Charcoal Chalk Coral Aqua Just for yougooglehome,FALSE,6/3/2020 22:08,ZipseHaus,0,0.5,
Google Home Mini Smart Speaker with Google Assistant Charcoal Chalk Coral Aqua Special dealgooglehome,FALSE,6/3/2020 22:07,ZipseHaus,0,1.3,
I got a free google nest mini from youtube last week and i very much enjoy it along with,FALSE,6/3/2020 22:03,AmandaD15316342,0,1.25,
"I was casually scrolling through some old photos and saw this SHOCK to the conscience 

UWI bookshop last April was s",FALSE,6/3/2020 21:44,YogiFreeSpirit,10,-0.75,
Helps here Elle Need help with your Google Home Mini,FALSE,6/3/2020 21:43,googlenest,0,0.8,
I told my google home mini to play kpop and it played Jojo Siwa like,FALSE,6/3/2020 21:40,ItsMinPeachii,0,0.5,
"New Deal YMMVGoogle Home MiniChalk Pack
Found this while looki",FALSE,6/3/2020 21:25,latestBFDeals,0,1.65,
"I was casually scrolling through some old photos and saw this SHOCK to the conscience 

UWI bookshop last April was s",FALSE,6/3/2020 21:02,roseguy64,10,-0.75,
"I was casually scrolling through some old photos and saw this SHOCK to the conscience 

UWI bookshop last April was s",FALSE,6/3/2020 21:00,darienrobertson,10,-0.75,
Googles Smart Light Starter Kit includes a Home Mini more atSavetoToys,FALSE,6/3/2020 21:00,IoTofToday,0,0.5,
ENTER TO WIN A Google Home Nest Mini smart speaker to help organise entertain and remember all the things you us,FALSE,6/3/2020 20:44,pinkspyderuk,0,1.5,
"I was casually scrolling through some old photos and saw this SHOCK to the conscience 

UWI bookshop last April was s",FALSE,6/3/2020 20:40,peakbrat,10,-0.75,
"I was casually scrolling through some old photos and saw this SHOCK to the conscience 

UWI bookshop last April",FALSE,6/3/2020 20:33,lockedbrandon,10,0.75,
Common Google Nest Mini problems and how to fix them,FALSE,6/3/2020 20:31,technology_2021,0,-0.5,
ENTER TO WIN A Google Home Nest Mini smart speaker to help organise entertain and remember all the things you us,FALSE,6/3/2020 20:23,courtneyc_420,0,1.5,
My google home mini has my back,FALSE,6/3/2020 20:23,XmicrojusticeX,0,0,
Hey Justin we know its important to have a stable Bluetooth connection on your Google Home Mini  ou,FALSE,6/3/2020 19:57,googlenest,0,1.75,
ENTER TO WIN A Google Home Nest Mini smart speaker to help organise entertain and remember all the things you us,FALSE,6/3/2020 19:50,LisaWil57909402,0,1.5,
Caremoo Metal Pedestal Stand for Google Nest Mini nd Gen and Google Home Mini st Gen Sound Visibility and Ap,FALSE,6/3/2020 19:18,marionherman93,0,0,
"    

In celebration of Infinites th year anniversary Im sharing this fan made merch designs th",FALSE,6/3/2020 19:07,77aaeeiioouu,243,0.75,
"My GamingSetup HomeTheatre 

Display LG COLED
Audio Onkyo HTSTHXDolby Atmos
Consoles Xbox One X Sco",FALSE,6/3/2020 19:05,ravisawalia,4,0,
Its amazing what my mini home google can play me It serenades me,FALSE,6/3/2020 18:58,KuykendallCorie,0,0.5,
"My GamingSetup HomeTheatre 

Display LG COLED
Audio Onkyo HTSTHXDolby Atmos
Consoles Xbox One X Sco",FALSE,6/3/2020 18:33,milan_says,4,0,
"My GamingSetup HomeTheatre 

Display LG COLED
Audio Onkyo HTSTHXDolby Atmos
Consoles Xbox",FALSE,6/3/2020 18:24,ks_jishnu,4,0,
"    

In celebration of Infinites th year anniversary Im sharing this fan made merch designs th",FALSE,6/3/2020 18:18,amptw,243,0.75,
Got the Huawei P Pro and really didnt realise how much I depended on Google appsHave the Google Home Mini and c,FALSE,6/3/2020 18:15,ScarletSarah89,0,0.25,
Googles Smart Light Starter Kit includes a Home Mini more atSavetoToys,FALSE,6/3/2020 18:00,IoTInformer,0,0.5,
out oversessions offered tomorrALL LISD Elem teachers Many share strategies and tipsteaching ALL our st,FALSE,6/3/2020 17:51,DueckerLisa,2,0.5,
KIWI design Rechargeable Battery Base Compatible with Home Mini by Google st Gen mAh Portable Charger Acces,FALSE,6/3/2020 17:32,droneonthemoon,0,0.75,
I do not get a notification when it disconnects I get Please log on via the Google Home app in respo,FALSE,6/3/2020 17:31,Vikkelspies,0,1,
 Our Transition website for yearstudents coming to our academy in September is now live  Follow this link for an ac,FALSE,6/3/2020 17:31,mini_hoy,3,0.4,
Its a Google home mini anyway How loud can it get Its not a howitzer lol,FALSE,6/3/2020 17:29,DenebolaZenFoto,0,0.25,
Mount Genie Pedestal for Nest Mini nd Gen and Google Home Mini st GenImproves Sound and AppearanceClean,FALSE,6/3/2020 17:24,droneonthemoon,0,0,
Hey Toby thanks for the tweet While our team is looking in on similar reports wed like to get more,FALSE,6/3/2020 16:56,googlenest,0,1.1,
ENTER TO WIN A Google Home Nest Mini smart speaker to help organise entertain and remember all the things you us,FALSE,6/3/2020 16:51,beelzebomb1,0,1.5,
Dieter PeyGoogle Home MiniUnboxingViaDieterPey ContentCreator LifeJournali,FALSE,6/3/2020 16:41,theeaglesvision,4,0,
